samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species
M01895:175:000000000-CJJKT:1:1101:24102:5478__kiwi2019__AG0320-226__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2112:17396:20824__kiwi2019__AG0320-499__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1107:21062:22414__kiwi2019__AG0320-799__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1103:16753:16987__kiwi2019__AG0320-276__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1104:9453:5624__kiwi2019__AG0320-368__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1103:13359:24081__kiwi2019__AG0320-226__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:16064:15513__kiwi2019__AG0320-797__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1101:12148:21431__kiwi2019__AG0320-135__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:23555:19529__kiwi2019__AG0320-610__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:1101:8914:15244__kiwi2019__AG0320-648__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Rhizobiaceae,,,Rhizobium,
M01895:175:000000000-CJJKT:1:2110:11927:25149__kiwi2019__AG0320-240__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,,
M01895:175:000000000-CJJKT:1:1110:8234:20882__kiwi2019__AG0320-098__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1101:16072:10242__kiwi2019__AG0320-044__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,
M01895:175:000000000-CJJKT:1:1102:12671:15735__kiwi2019__AG0320-477__515f,Eukaryota,Viridiplantae,,Streptophyta,,rosids,,,,,,,
M01895:175:000000000-CJJKT:1:1101:26701:13801__kiwi2019__AG0320-469__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,,
M01895:175:000000000-CJJKT:1:1113:23540:16227__kiwi2019__AG0320-090__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
