samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:1101:13692:3231__kiwi2019__AG0320-760__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,,,Candida,
M01895:175:000000000-CJJKT:1:1111:19981:17220__kiwi2019__AG0320-641__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1101:20919:5683__kiwi2019__AG0320-613__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Sporidiobolales,,Sporidiobolaceae,,Sporobolomyces,Sporobolomyces ruberrimus
M01895:175:000000000-CJJKT:1:1102:24881:6846__kiwi2019__AG0320-811__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,
M01895:175:000000000-CJJKT:1:1101:24283:23952__kiwi2019__AG0320-691__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Vishniacozyma,
M01895:175:000000000-CJJKT:1:1110:7232:8514__kiwi2019__AG0320-418__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,,,Curvibasidium,Curvibasidium cygneicollum
M01895:175:000000000-CJJKT:1:1101:24730:12212__kiwi2019__AG0320-739__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Cladosporiaceae,,,
M01895:175:000000000-CJJKT:1:1101:12144:2940__kiwi2019__AG0320-762__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,
M01895:175:000000000-CJJKT:1:1101:24843:14221__kiwi2019__AG0320-276__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,
M01895:175:000000000-CJJKT:1:1111:13452:4190__kiwi2019__AG0320-192__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1103:26327:20150__kiwi2019__AG0320-671__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Holtermanniales,,,,Holtermanniella,Holtermanniella festucosa
M01895:175:000000000-CJJKT:1:1101:21356:24453__kiwi2019__AG0320-619__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Sporidiobolales,,Sporidiobolaceae,,Rhodotorula,
M01895:175:000000000-CJJKT:1:1109:9306:7417__kiwi2019__AG0320-337__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,Sclerotiniaceae,,,
M01895:175:000000000-CJJKT:1:1101:16932:8415__kiwi2019__AG0320-192__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
