seqname,samplename,species,seq,birdname,bandnumber,runname,overallrunname,collectiondate,time,area,site,microsite,sex,age,weight,freshness ,size_of_sample,urine,coccidiosis,captive,collector,ethanol?,captivity,coccidiosis_data
AG0320-001,AROMAL1,kiwi,kiwi1,,,1,1,43485,0.291666667,Motuarohia,,short cut trash,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-002,AROMAL2,kiwi,kiwi2 ,,,2,2,43485,0.381944444,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-003,AROMAL3,kiwi,kiwi3,,,3,3,43485,0.416666667,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-004,AROISA3,kiwi,kiwi4,,,4,4,43485,0.458333333,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-005,AROISA2,kiwi,kiwi5,,,5,5,43485,0.4375,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-006,AROISA4,kiwi,kiwi6,,,6,6,43486,0.340972222,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-007,AROMAL4,kiwi,kiwi7,,,7,7,43486,0.375,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-008,AROISA5,kiwi,kiwi8,,,8,8,43486,0.395833333,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-009,AROISA6,kiwi,kiwi9,,,9,9,43486,0.409027778,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-010,AROISA7,kiwi,kiwi10,,,10,10,43486,,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-011,AROMAL5,kiwi,kiwi11,,,11,11,43487,0.3125,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-012,AROMAL6,kiwi,kiwi12,,,12,12,43487,0.333333333,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-013,AROMAL7,kiwi,kiwi13,,,13,13,43487,0.347222222,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-014,AROISA8,kiwi,kiwi14,,,14,14,43487,0.375,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-015,AROISA10,kiwi,kiwi15,,,15,15,43487,0.395833333,Motuarohia,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-016,RUAMAL1,kiwi,kiwi16,,,16,16,43488,0.395833333,Moturua,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-017,RUAMAL2,kiwi,kiwi17,,,17,17,43489,0.354166667,Moturua,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-018,RUAMAL4,kiwi,kiwi18,,,18,18,43489,0.541666667,Moturua,,,NA,NA,NA,,,,NA,FALSE,Malin,yes,wild,unavailable
AG0320-019,PON001,kiwi,kiwi19,Ana Maria,,19,19,43546,,Ponui,,TX33,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-020,PON002,kiwi,kiwi20,Dale,,20,20,43545,,Ponui,,,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-021,PON003,kiwi,kiwi21,Jacob,,21,21,43543,,Ponui,,,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-022,RAKISA2,kiwi,kiwi22,,,22,22,43480,0.625,Rakaumangamanga,,WAITUI,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-023,RAKISA4,kiwi,kiwi23,,,23,23,43482,,Rakaumangamanga,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-024,RAKISA7,kiwi,kiwi24,,,24,24,,,Rakaumangamanga,,,NA,NA,NA,,,,NA,FALSE,Isabel,yes,wild,unavailable
AG0320-025,PON1,kiwi,kiwi25,,,25,25,43573,0.340277778,Ponui,camp,camp restroom,NA,NA,NA,fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-026,PON2,kiwi,kiwi26,,,26,26,43573,0.34375,Ponui,camp,camp restroom,NA,NA,NA,fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-027,PON3,kiwi,kiwi27,,,27,27,43573,0.349305556,Ponui,camp,camp restroom,NA,NA,NA,fresh,,none,NA,FALSE,,yes,wild,unavailable
AG0320-028,PON4,kiwi,kiwi28,,,28,28,43573,0.375,Ponui,farm,implement shed,NA,NA,NA,med fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-029,PON5,kiwi,kiwi29,,,29,29,43573,0.541666667,Ponui,Kauri Bush,forest,NA,NA,NA,med fresh,small,,NA,FALSE,,yes,wild,unavailable
AG0320-030,PON6,kiwi,kiwi30,,,30,30,43574,0.328472222,Ponui,Kauri Bush,swamp paddock,NA,NA,NA,fresh,,some,NA,FALSE,,yes,wild,unavailable
AG0320-031,PON7,kiwi,kiwi31,,,31,31,43574,0.328472222,Ponui,Kauri Bush,swamp paddock,NA,NA,NA,med fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-032,PON8,kiwi,kiwi32,,,32,32,43574,0.340277778,Ponui,Kauri Bush,swamp paddock,NA,NA,NA,fresh,small,,NA,FALSE,,yes,wild,unavailable
AG0320-033,PON9,kiwi,kiwi33,,,33,33,43574,0.340277778,Ponui,Kauri Bush,swamp paddock,NA,NA,NA,very fresh,,some,NA,FALSE,,yes,wild,unavailable
AG0320-034,PON10,kiwi,kiwi34,,,34,34,43574,0.347222222,Ponui,Kauri Bush,swamp paddock,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-035,PON11,kiwi,kiwi35,,,35,35,43574,0.354166667,Ponui,Red Stony Hill Gully,,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-036,PON12,kiwi,kiwi36,,,36,36,43574,0.354166667,Ponui,Red Stony Hill Gully,,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-037,PON13,kiwi,kiwi37,,,37,37,43574,0.3625,Ponui,Red Stony Hill Gully,,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-038,PON14,kiwi,kiwi38,,,38,38,43574,0.391666667,Ponui,Red Stony Hill Gully,,NA,NA,NA,bit fresh,small,,NA,FALSE,,yes,wild,unavailable
AG0320-039,PON15,kiwi,kiwi39,,,39,39,43574,0.427083333,Ponui,Red Stony Hill Gully,near fork,NA,NA,NA,,small,,NA,FALSE,,yes,wild,unavailable
AG0320-040,PON16,kiwi,kiwi40,,,40,40,43574,0.434027778,Ponui,Red Stony Hill Gully,in burrow,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-041,PON17,kiwi,kiwi41,,,41,41,43574,0.511111111,Ponui,Red Stony Hill Gully,Isa's crossing,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-042,PON18,kiwi,kiwi42,,,42,42,43574,0.577083333,Ponui,Pipe Gully,pipe fork,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-043,PON19,kiwi,kiwi43,,,43,43,43574,0.577083333,Ponui,Pipe Gully,pipe fork,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-044,PON20,kiwi,kiwi44,,,44,44,43575,0.339583333,Ponui,farm,beehive paddock,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-045,PON21,kiwi,kiwi45,,,45,45,43575,0.340277778,Ponui,farm,beehive paddock,NA,NA,NA,,small,,NA,FALSE,,yes,wild,unavailable
AG0320-046,PON22,kiwi,kiwi46,,,46,46,43575,0.349305556,Ponui,Pipe Gully,beehive paddock,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-047,PON23,kiwi,kiwi47,,,47,47,43575,0.352777778,Ponui,Pipe Gully,beehive paddock,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-048,PON24,kiwi,kiwi48,,,48,48,43575,0.365972222,Ponui,Pipe Gully,,NA,NA,NA,bit fresh,,a lot,NA,FALSE,,yes,wild,unavailable
AG0320-049,PON25,kiwi,kiwi49,,,49,49,43575,0.365972222,Ponui,Pipe Gully,,NA,NA,NA,bit fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-050,PON26,kiwi,kiwi50,,,50,50,43575,0.372916667,Ponui,Pipe Gully,,NA,NA,NA,fresh,small,,NA,FALSE,,yes,wild,unavailable
AG0320-051,PON27,kiwi,kiwi51,,,51,51,43575,0.377777778,Ponui,Pipe Gully,,NA,NA,NA,,small,some,NA,FALSE,,yes,wild,unavailable
AG0320-052,PON28,kiwi,kiwi52,,,52,52,43575,0.377777778,Ponui,Pipe Gully,,NA,NA,NA,very fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-053,PON29,kiwi,kiwi53,,,53,53,43575,0.384027778,Ponui,Pipe Gully,,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-054,PON30,kiwi,kiwi54,,,54,54,43575,0.395833333,Ponui,Pipe Gully,pipe bush,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-055,PON31,kiwi,kiwi55,,,55,55,43575,0.405555556,Ponui,Pipe Gully,pipe bush,NA,NA,NA,med fresh,,some,NA,FALSE,,yes,wild,unavailable
AG0320-056,PON32,kiwi,kiwi56,,,56,56,43575,0.416666667,Ponui,Pipe Gully,pipe bush,NA,NA,NA,,small,a lot,NA,FALSE,,yes,wild,unavailable
AG0320-057,PON33,kiwi,kiwi57,,,57,57,43575,0.427083333,Ponui,Pipe Gully,pipe bush,NA,NA,NA,,small,,NA,FALSE,,yes,wild,unavailable
AG0320-058,PON34,kiwi,kiwi58,,,58,58,43575,0.428472222,Ponui,Pipe Gully,ants palace,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-059,PON35,kiwi,kiwi59,,,59,59,43575,0.434027778,Ponui,Pipe Gully,ants palace,NA,NA,NA,,,,NA,FALSE,,yes,wild,unavailable
AG0320-060,PON36,kiwi,kiwi60,,,60,60,43575,0.434027778,Ponui,Pipe Gully,ants palace,NA,NA,NA,med fresh,,,NA,FALSE,,yes,wild,unavailable
AG0320-061,PON37,kiwi,kiwi61,,,61,61,43575,0.434027778,Ponui,Pipe Gully,ants palace,NA,NA,NA,med fresh,,,NA,FALSE,,yes,wild,unavailable
